ts,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2024-07-24 16:00:00,6.973,6.992,6.895,6.905,884902.168,6146081.5928067,6146081.5928067,1
2024-07-24 12:00:00,6.955,7.009,6.913,6.974,1393994.68,9707798.8518794,9707798.8518794,1
2024-07-24 08:00:00,6.96,6.982,6.946,6.954,510306.4913,3553864.4056838,3553864.4056838,1
2024-07-24 04:00:00,6.914,6.98,6.894,6.959,543878.2142,3772449.1643119,3772449.1643119,1
2024-07-24 00:00:00,6.867,6.919,6.84,6.913,645470.0731,4441312.9508257,4441312.9508257,1
2024-07-23 20:00:00,6.841,6.869,6.817,6.867,402171.5942,2754857.8665264,2754857.8665264,1
2024-07-23 16:00:00,6.882,6.908,6.797,6.841,1252973.313,8573884.3986454,8573884.3986454,1
2024-07-23 12:00:00,6.907,6.937,6.837,6.882,1388332.7247,9562183.3354194,9562183.3354194,1
2024-07-23 08:00:00,6.863,6.964,6.858,6.907,1233598.9139,8533646.178742,8533646.178742,1
2024-07-23 04:00:00,6.972,6.98,6.798,6.863,1484957.7825,10209485.6200038,10209485.6200038,1
2024-07-23 00:00:00,6.974,7.016,6.971,6.972,441973.9737,3091516.1958916,3091516.1958916,1
2024-07-22 20:00:00,7.024,7.029,6.937,6.973,669804.1008,4672031.2191633,4672031.2191633,1
2024-07-22 16:00:00,6.949,7.023,6.925,7.023,1045904.9291,7295070.7319945,7295070.7319945,1
2024-07-22 12:00:00,7.037,7.047,6.905,6.949,1710816.8199,11932282.722169,11932282.722169,1
2024-07-22 08:00:00,7.078,7.087,7.035,7.037,776520.8365,5481037.201837,5481037.201837,1
2024-07-22 04:00:00,7.175,7.175,7.06,7.078,869093.2,6172315.1671485,6172315.1671485,1
2024-07-22 00:00:00,7.178,7.217,7.156,7.175,770168.7152,5533620.2581276,5533620.2581276,1
2024-07-21 20:00:00,7.104,7.178,7.086,7.177,733562.2438,5233675.375617,5233675.375617,1
2024-07-21 16:00:00,7.162,7.17,6.98,7.104,1650076.5747,11677510.4710627,11677510.4710627,1
2024-07-21 12:00:00,7.173,7.197,7.103,7.162,1103476.7305,7893577.6547905,7893577.6547905,1
2024-07-21 08:00:00,7.237,7.248,7.154,7.173,559785.5497,4029236.6985122,4029236.6985122,1
2024-07-21 04:00:00,7.296,7.296,7.234,7.237,405172.9062,2942190.9919363,2942190.9919363,1
2024-07-21 00:00:00,7.261,7.309,7.252,7.296,302166.9462,2201120.5052144,2201120.5052144,1
2024-07-20 20:00:00,7.293,7.309,7.256,7.259,454813.5383,3310305.2005758,3310305.2005758,1
2024-07-20 16:00:00,7.33,7.346,7.288,7.293,483915.1954,3542968.0624834,3542968.0624834,1
2024-07-20 12:00:00,7.325,7.349,7.307,7.33,504938.9036,3700164.8542518,3700164.8542518,1
2024-07-20 08:00:00,7.328,7.343,7.3,7.324,417854.493,3058204.0634982,3058204.0634982,1
2024-07-20 04:00:00,7.333,7.352,7.314,7.329,364093.1947,2671054.635291,2671054.635291,1
2024-07-20 00:00:00,7.302,7.349,7.284,7.332,439511.7442,3214490.3151958,3214490.3151958,1
2024-07-19 20:00:00,7.276,7.303,7.256,7.301,307968.3724,2243482.3907882,2243482.3907882,1
2024-07-19 16:00:00,7.249,7.294,7.246,7.276,635255.2205,4617798.2883082,4617798.2883082,1
2024-07-19 12:00:00,7.301,7.323,7.19,7.249,1367827.7888,9940342.7603087,9940342.7603087,1
2024-07-19 08:00:00,7.266,7.317,7.238,7.301,777418.4628,5665142.0346994,5665142.0346994,1
2024-07-19 04:00:00,7.279,7.309,7.25,7.266,759680.6447,5537052.7083337,5537052.7083337,1
2024-07-19 00:00:00,7.252,7.29,7.205,7.279,695463.3221,5046297.1918741,5046297.1918741,1
